85	tt1117386	A Fork in the Road	A Fork in the Road (2009)	6.1	Action,Comedy,Crime
86	tt0060438	A Funny Thing Happened on the Way to the Forum	A Funny Thing Happened on the Way to the Forum (1966)	7	Action,Comedy,Musical
87	tt1606378	A Good Day to Die Hard	A Good Day to Die Hard (2013)	5.3	Action,Crime,Thriller
88	tt3480556	A Good Man	A Good Man (2014)	4.7	Action,Crime,Thriller
89	tt2180994	A Good Marriage	A Good Marriage (2014)	5.2	Action,Drama,Thriller
90	tt0401445	A Good Year	A Good Year (2006)	7	Action,Comedy,Drama,Romance
91	tt2828996	A Haunted House 2	A Haunted House 2 (2014)	4.7	Action,Comedy,Fantasy,Horror
92	tt2243537	A Haunted House	A Haunted House (2013)	5.1	Action,Comedy,Fantasy,Horror
93	tt0399146	A History of Violence	A History of Violence (2005)	7.5	Action,Crime,Drama,Thriller
94	tt0183790	A Knight's Tale	A Knight's Tale (2001)	6.9	Action,Adventure,History,Romance
95	tt0104694	A League of Their Own	A League of Their Own (1992)	7.2	Action,Comedy,Drama,Family,Sport
96	tt1440161	A Little Bit of Heaven	A Little Bit of Heaven (2011)	6.3	Action,Comedy,Drama,Fantasy,Romance
97	tt1319722	A Little Help	A Little Help (2010)	5.7	Action,Comedy,Drama,Romance
98	tt1422136	A Lonely Place to Die	A Lonely Place to Die (2011)	6.3	Action,Adventure,Crime,Drama,Thriller
99	tt0458413	A Long Way Down	A Long Way Down (2014)	6.4	Action,Comedy,Drama
100	tt0391304	A Lot Like Love	A Lot Like Love (2005)	6.6	Action,Comedy,Drama,Romance
101	tt0266465	A Man Apart	A Man Apart (2003)	6.1	Action,Crime,Drama,Thriller
102	tt0060665	A Man for All Seasons	A Man for All Seasons (1966)	7.9	Action,Biography,Drama,History
103	tt2276069	A Master Builder	A Master Builder (2013)	6.1	Action,Drama
104	tt0910885	A Merry Friggin' Christmas	A Merry Friggin' Christmas (2014)	5.1	Action,Comedy
105	tt2557490	A Million Ways to Die in the West	A Million Ways to Die in the West (2014)	6.1	Action,Comedy,Romance,Western
106	tt2937898	A Most Violent Year	A Most Violent Year (2014)	7	Action,Crime,Drama,Thriller
107	tt1972571	A Most Wanted Man	A Most Wanted Man (2014)	6.8	Action,Crime,Drama,Thriller
108	tt2308260	A Night in Old Mexico	A Night in Old Mexico (2013)	5.7	Action,Adventure,Drama,Western
109	tt2909748	A Nightingale Falling	A Nightingale Falling (2014)	5	Action,Drama,History,War
110	tt0087800	A Nightmare on Elm Street	A Nightmare on Elm Street (1984)	7.5	Action,Horror
111	tt0089686	A Nightmare on Elm Street 2: Freddy's Revenge	A Nightmare on Elm Street 2: Freddy's Revenge (1985)	5.4	Action,Fantasy,Horror,Thriller
112	tt1179056	A Nightmare on Elm Street	A Nightmare on Elm Street (2010)	5.2	Action,Crime,Drama,Horror,Mystery,Thriller
113	tt0093629	A Nightmare on Elm Street 3: Dream Warriors	A Nightmare on Elm Street 3: Dream Warriors (1987)	6.6	Action,Fantasy,Horror,Thriller
114	tt0095742	A Nightmare on Elm Street 4: The Dream Master	A Nightmare on Elm Street 4: The Dream Master (1988)	5.7	Action,Fantasy,Horror,Thriller
115	tt0097981	A Nightmare on Elm Street 5: The Dream Child	A Nightmare on Elm Street 5: The Dream Child (1989)	5.1	Action,Fantasy,Horror,Romance,Thriller
